Fecha,Rango edad,Número de hombres,Número mujeres
['15/04/2017 07:00:01'],10-14,2611,2365
['15/04/2017 07:00:01'],15-19,2410,2198
['15/04/2017 07:00:01'],20-24,2143,1949
['15/04/2017 07:00:01'],25-29,2320,2466
['15/04/2017 07:00:01'],30-34,2959,3176
['15/04/2017 07:00:01'],35-39,3915,4232
['15/04/2017 07:00:01'],40-44,4406,4538
['15/04/2017 07:00:01'],45-49,3793,3822
['15/04/2017 07:00:01'],50-54,3092,3325
['15/04/2017 07:00:01'],55-59,2532,2845
['15/04/2017 07:00:01'],60-64,2105,2466
['15/04/2017 07:00:01'],65-69,2113,2349
['15/04/2017 07:00:01'],70-74,1586,1679
['15/04/2017 07:00:01'],75-79,889,979
['15/04/2017 07:00:01'],80-84,622,803
['15/04/2017 07:00:01'],85-89,348,581
['15/04/2017 07:00:01'],90-94,118,308
['15/04/2017 07:00:01'],95-99,26,101
['15/04/2017 07:00:01'],100-104,2,12
['01/04/2017 07:00:01'],0-4,2226,2161
['01/04/2017 07:00:01'],5-9,2860,2676
['01/04/2017 07:00:01'],10-14,2605,2359
['01/04/2017 07:00:01'],15-19,2400,2192
['01/04/2017 07:00:01'],20-24,2133,1946
['01/04/2017 07:00:01'],25-29,2309,2451
['01/04/2017 07:00:01'],30-34,2947,3161
['01/04/2017 07:00:01'],35-39,3894,4215
['01/04/2017 07:00:01'],40-44,4393,4530
['01/04/2017 07:00:01'],45-49,3781,3813
['01/04/2017 07:00:01'],50-54,3090,3316
['01/04/2017 07:00:01'],55-59,2529,2842
['01/04/2017 07:00:01'],60-64,2101,2466
['01/04/2017 07:00:01'],65-69,2114,2345
['01/04/2017 07:00:01'],70-74,1586,1679
['01/04/2017 07:00:01'],75-79,889,979
['01/04/2017 07:00:01'],80-84,620,802
['01/04/2017 07:00:01'],85-89,348,581
['01/04/2017 07:00:01'],90-94,118,308
['01/04/2017 07:00:01'],95-99,26,101
['01/04/2017 07:00:01'],100-104,2,12
['15/03/2017 07:00:01'],0-4,2205,2129
['15/03/2017 07:00:01'],5-9,2866,2676
['15/03/2017 07:00:01'],10-14,2613,2363
['15/03/2017 07:00:01'],15-19,2405,2191
['15/03/2017 07:00:01'],20-24,2149,1945
['15/03/2017 07:00:01'],25-29,2316,2459
['15/03/2017 07:00:01'],30-34,2967,3176
['15/03/2017 07:00:01'],35-39,3903,4227
['15/03/2017 07:00:01'],40-44,4407,4545
['15/03/2017 07:00:01'],45-49,3800,3824
['15/03/2017 07:00:01'],50-54,3099,3322
['15/03/2017 07:00:01'],55-59,2530,2843
['15/03/2017 07:00:01'],60-64,2103,2470
['15/03/2017 07:00:01'],65-69,2114,2346
['15/03/2017 07:00:01'],70-74,1589,1680
['15/03/2017 07:00:01'],75-79,885,978
['15/03/2017 07:00:01'],80-84,622,805
['15/03/2017 07:00:01'],85-89,350,588
['15/03/2017 07:00:01'],90-94,119,311
['15/03/2017 07:00:01'],95-99,29,104
['15/03/2017 07:00:01'],100-104,3,12
['01/03/2017 07:00:01'],0-4,2182,2111
['01/03/2017 07:00:01'],5-9,2863,2674
['01/03/2017 07:00:01'],10-14,2611,2358
['01/03/2017 07:00:01'],15-19,2398,2182
['01/03/2017 07:00:01'],20-24,2144,1943
['01/03/2017 07:00:01'],25-29,2306,2444
['01/03/2017 07:00:01'],30-34,2953,3158
['01/03/2017 07:00:01'],35-39,3890,4216
['01/03/2017 07:00:01'],40-44,4398,4538
['01/03/2017 07:00:01'],45-49,3790,3818
['01/03/2017 07:00:01'],50-54,3096,3317
['01/03/2017 07:00:01'],55-59,2529,2844
['01/03/2017 07:00:01'],60-64,2101,2471
['01/03/2017 07:00:01'],65-69,2111,2344
['01/03/2017 07:00:01'],70-74,1587,1678
['01/03/2017 07:00:01'],75-79,884,976
['01/03/2017 07:00:01'],80-84,619,803
['01/03/2017 07:00:01'],85-89,349,588
['01/03/2017 07:00:01'],90-94,119,308
['01/03/2017 07:00:01'],95-99,29,103
